run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,question_order,stimulus,button_pressed,iTrial,Phase,ExperimentPhase,key_press,StimulusDurationSetting,CharacterResponse,correctResponse,Face,Name,rearranged,didSubjectEnterRearranged,slider_start,response,Block,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
60,1,9316,"{""Q0"":""ATZ6GERYJ2LSK""}",survey-text,0,9320,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,3148,"{""Q0"":""40""}",survey-text,1,12475,0.0-1.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,5334,"{""Q0"":""male"",""Q1"":""Not Hispanic/Latino"",""Q2"":""White or Caucasian""}",survey-multi-choice,2,17812,0.0-2.0,"[0,1,2]","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,15797,"""",image-button-response,3,33620,0.0-3.0,"""",directionsMemoryAssociation1.JPG,0,1,IntroDirections1,break,"""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,24415,"""",image-button-response,4,58043,0.0-4.0,"""",directionsMemoryAssociation2.JPG,0,1,IntroDirections2,break,"""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,5,63048,0.0-5.0,"""","<img src='jspsych/CFDfaces/CFD-LF-202-065-N.jpg' height=""250px"">,</br><b>Cassandra</b>","""",1,IntactFace,Practice,null,5000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,6,63552,0.0-6.0,"""","<div style=""font-size:60px;"">+</div>","""",1,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,3437,"""",html-keyboard-response,7,68557,0.0-7.0,"""","<img src='jspsych/CFDfaces/CFD-LF-218-072-N.jpg' height=""250px"">,</br><b>Tara</b>","""",2,IntactFace,Practice,70,5000,f,"""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,8,69061,0.0-8.0,"""","<div style=""font-size:60px;"">+</div>","""",2,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,3421,"""",html-keyboard-response,9,74068,0.0-9.0,"""","<img src='jspsych/CFDfaces/CFD-WF-218-087-N.jpg' height=""250px"">,</br><b>Katelyn</b>","""",3,IntactFace,Practice,70,5000,f,"""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,10,74574,0.0-10.0,"""","<div style=""font-size:60px;"">+</div>","""",3,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,2467,"""",html-keyboard-response,11,79581,0.0-11.0,"""","<img src='jspsych/CFDfaces/CFD-AM-237-154-N.jpg' height=""250px"">,</br><b>Carlos</b>","""",4,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,12,80082,0.0-12.0,"""","<div style=""font-size:60px;"">+</div>","""",4,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,2996,"""",html-keyboard-response,13,85089,0.0-13.0,"""","<img src='jspsych/CFDfaces/CFD-WM-019-003-N.jpg' height=""250px"">,</br><b>Patrick</b>","""",5,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,14,85594,0.0-14.0,"""","<div style=""font-size:60px;"">+</div>","""",5,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,3161,"""",html-keyboard-response,15,90597,0.0-15.0,"""","<img src='jspsych/CFDfaces/CFD-WM-222-057-N.jpg' height=""250px"">,</br><b>Marcus</b>","""",6,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,16,91101,0.0-16.0,"""","<div style=""font-size:60px;"">+</div>","""",6,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,17,96107,0.0-17.0,"""","<img src='jspsych/CFDfaces/CFD-WF-016-015-N.jpg' height=""250px"">,</br><b>Shannon</b>","""",7,IntactFace,Practice,null,5000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,18,96612,0.0-18.0,"""","<div style=""font-size:60px;"">+</div>","""",7,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,3040,"""",html-keyboard-response,19,101618,0.0-19.0,"""","<img src='jspsych/CFDfaces/CFD-AM-248-104-N.jpg' height=""250px"">,</br><b>Samuel</b>","""",8,IntactFace,Practice,70,5000,f,"""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,20,102124,0.0-20.0,"""","<div style=""font-size:60px;"">+</div>","""",8,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,26512,"""",image-button-response,21,128644,0.0-21.0,"""",directionsForTest.JPG,0,1,directionsForTest,break,"""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,13410,"""",image-button-response,22,142064,0.0-22.0,"""",directionsForTest2.JPG,0,1,directionsForTest2,break,"""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,23,143066,0.0-23.0,"""","<div style=""font-size:60px;"">+</div>","""",1,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,24,143322,0.0-24.0,"""",jspsych/scrambledDisgustFaces/scrambledBF26DIS.JPG,"""",1,forwardMask,Practice,null,250,"""",d,"""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,25,143342,0.0-25.0,"""",jspsych/disgustFaces/BF26DIS.JPG,"""",1,Cue,Practice,null,16,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,26,143447,0.0-26.0,"""",jspsych/neutralFaces/AF19NES.JPG,"""",1,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,27,144450,0.0-27.0,"""","<div style=""font-size:60px;"">+</div>","""",1,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,4058,"""",html-button-response,28,148509,0.0-28.0,"""","<img src='jspsych/CFDfaces/CFD-AM-248-104-N.jpg'height=""250px""></br><b>Samuel</b>",0,1,IntactOrRearranged,Practice,"""","""","""","""",CFD-AM-248-104-N.jpg,Samuel,0,0,"""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,3244,"""",html-slider-response,29,151758,0.0-29.0,"""","<img src='jspsych/CFDfaces/CFD-AM-248-104-N.jpg'height=""250px""></br><b>Samuel</b>","""",1,ConfidenceQuery,Practice,"""","""","""","""",CFD-AF-228-173-N.jpg,Taylor,0,"""",0,87,"""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,2292,"""",html-button-response,30,154055,0.0-30.0,"""",You are Correct. You called an Intact Pair Intact,0,1,feedback,Practice,"""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,31,155056,0.0-31.0,"""","<div style=""font-size:60px;"">+</div>","""",2,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,32,155309,0.0-32.0,"""",jspsych/scrambledNeutralFaces/scrambledBF23NES.JPG,"""",2,forwardMask,Practice,null,250,"""",n,"""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,33,155329,0.0-33.0,"""",jspsych/neutralFaces/BF23NES.JPG,"""",2,Cue,Practice,null,16,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,34,155433,0.0-34.0,"""",jspsych/neutralFaces/BF20NES.JPG,"""",2,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,35,156435,0.0-35.0,"""","<div style=""font-size:60px;"">+</div>","""",2,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,2410,"""",html-button-response,36,158846,0.0-36.0,"""","<img src='jspsych/CFDfaces/CFD-WM-019-003-N.jpg'height=""250px""></br><b>Patrick</b>",0,2,IntactOrRearranged,Practice,"""","""","""","""",CFD-WM-019-003-N.jpg,Patrick,0,0,"""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,4638,"""",html-slider-response,37,163488,0.0-37.0,"""","<img src='jspsych/CFDfaces/CFD-WM-019-003-N.jpg'height=""250px""></br><b>Patrick</b>","""",2,ConfidenceQuery,Practice,"""","""","""","""",CFD-AF-228-173-N.jpg,Taylor,0,"""",0,100,"""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,1198,"""",html-button-response,38,164688,0.0-38.0,"""",You are Correct. You called an Intact Pair Intact,0,2,feedback,Practice,"""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,39,165697,0.0-39.0,"""","<div style=""font-size:60px;"">+</div>","""",3,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,40,165952,0.0-40.0,"""",jspsych/scrambledNeutralFaces/scrambledBF07NES.JPG,"""",3,forwardMask,Practice,null,250,"""",n,"""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,41,165976,0.0-41.0,"""",jspsych/neutralFaces/BF07NES.JPG,"""",3,Cue,Practice,null,16,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,42,166080,0.0-42.0,"""",jspsych/neutralFaces/AF12NES.JPG,"""",3,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,43,167082,0.0-43.0,"""","<div style=""font-size:60px;"">+</div>","""",3,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,2952,"""",html-button-response,44,170035,0.0-44.0,"""","<img src='jspsych/CFDfaces/CFD-WM-222-057-N.jpg'height=""250px""></br><b>Carlos</b>",1,3,IntactOrRearranged,Practice,"""","""","""","""",CFD-WM-222-057-N.jpg,Carlos,1,1,"""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,3204,"""",html-slider-response,45,173243,0.0-45.0,"""","<img src='jspsych/CFDfaces/CFD-WM-222-057-N.jpg'height=""250px""></br><b>Carlos</b>","""",3,ConfidenceQuery,Practice,"""","""","""","""",CFD-AF-228-173-N.jpg,Taylor,1,"""",0,100,"""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,2535,"""",html-button-response,46,175780,0.0-46.0,"""",You are Correct. You Called A Rearranged Pair Rearranged,0,3,feedback,Practice,"""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,47,176785,0.0-47.0,"""","<div style=""font-size:60px;"">+</div>","""",4,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,48,177040,0.0-48.0,"""",jspsych/scrambledNeutralFaces/scrambledBF11NES.JPG,"""",4,forwardMask,Practice,null,250,"""",n,"""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,49,177060,0.0-49.0,"""",jspsych/neutralFaces/BF11NES.JPG,"""",4,Cue,Practice,null,16,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,50,177163,0.0-50.0,"""",jspsych/neutralFaces/AF20NES.JPG,"""",4,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,51,178166,0.0-51.0,"""","<div style=""font-size:60px;"">+</div>","""",4,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,1934,"""",html-button-response,52,180103,0.0-52.0,"""","<img src='jspsych/CFDfaces/CFD-AM-237-154-N.jpg'height=""250px""></br><b>Marcus</b>",0,4,IntactOrRearranged,Practice,"""","""","""","""",CFD-AM-237-154-N.jpg,Marcus,1,0,"""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-slider-response,53,185105,0.0-53.0,"""","<img src='jspsych/CFDfaces/CFD-AM-237-154-N.jpg'height=""250px""></br><b>Marcus</b>","""",4,ConfidenceQuery,Practice,"""","""","""","""",CFD-AF-228-173-N.jpg,Taylor,1,"""",0,null,"""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,1540,"""",html-button-response,54,186648,0.0-54.0,"""",You are Incorrect. You called a Rearranged Pair Intact,0,4,feedback,Practice,"""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,55,187650,0.0-55.0,"""","<div style=""font-size:60px;"">+</div>","""",5,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,56,187902,0.0-56.0,"""",jspsych/scrambledDisgustFaces/scrambledAF35DIS.JPG,"""",5,forwardMask,Practice,null,250,"""",d,"""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,57,187925,0.0-57.0,"""",jspsych/disgustFaces/AF35DIS.JPG,"""",5,Cue,Practice,null,16,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,58,188028,0.0-58.0,"""",jspsych/neutralFaces/AF31NES.JPG,"""",5,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,59,189030,0.0-59.0,"""","<div style=""font-size:60px;"">+</div>","""",5,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,2547,"""",html-button-response,60,191578,0.0-60.0,"""","<img src='jspsych/CFDfaces/CFD-WF-218-087-N.jpg'height=""250px""></br><b>Cassandra</b>",1,5,IntactOrRearranged,Practice,"""","""","""","""",CFD-WF-218-087-N.jpg,Cassandra,1,1,"""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,2453,"""",html-slider-response,61,194034,0.0-61.0,"""","<img src='jspsych/CFDfaces/CFD-WF-218-087-N.jpg'height=""250px""></br><b>Cassandra</b>","""",5,ConfidenceQuery,Practice,"""","""","""","""",CFD-AF-228-173-N.jpg,Taylor,1,"""",0,78,"""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,1328,"""",html-button-response,62,195364,0.0-62.0,"""",You are Correct. You Called A Rearranged Pair Rearranged,0,5,feedback,Practice,"""","""","""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,63,196364,0.0-63.0,"""","<div style=""font-size:60px;"">+</div>","""",6,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,64,196617,0.0-64.0,"""",jspsych/scrambledDisgustFaces/scrambledAM19DIS.JPG,"""",6,forwardMask,Practice,null,250,"""",d,"""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,65,196641,0.0-65.0,"""",jspsych/disgustFaces/AM19DIS.JPG,"""",6,Cue,Practice,null,16,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",image-keyboard-response,66,196745,0.0-66.0,"""",jspsych/neutralFaces/BM04NES.JPG,"""",6,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
60,1,null,"""",html-keyboard-response,67,197746,0.0-67.0,"""","<div style=""font-size:60px;"">+</div>","""",6,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""",4/20/2021 16:49,73.169.242.36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:85.0) Gecko/20100101 Firefox/85.0,Macintosh,Firefox,85,OS X,10.15
